,label,21,22,23,24
0,a,39,36,48,32
1,b,13,11,17,11
2,c,10,22,9,15
3,d,24,18,23,26
4,e,49,56,56,56
5,f,8,11,9,9
6,g,16,16,15,20
7,h,18,22,20,24
8,i,30,33,24,39
9,j,3,1,1,0
10,k,7,10,9,4
11,l,29,34,18,26
12,m,11,12,13,10
13,n,36,40,30,35
14,o,36,34,28,32
15,p,9,6,10,9
16,q,3,4,4,3
17,r,19,38,40,35
18,s,30,29,27,27
19,t,34,40,38,45
20,u,15,17,14,15
21,v,6,2,6,2
22,w,7,10,12,19
23,x,1,1,1,1
24,y,10,11,7,10
25,z,3,3,6,1
26,comma,12,13,11,8
27,period,6,5,6,5
28,space,104,107,102,107
29,backspace,61,72,70,69
30,0,2,1,2,1
31,1,2,1,1,1
32,2,5,1,1,1
33,3,4,1,1,1
34,4,5,1,1,1
35,5,3,2,2,3
36,6,2,2,2,2
37,7,2,2,2,2
38,8,2,3,2,2
39,9,5,3,2,2
